ID_interaction;Class_interactions;0;1;2;3;4;5;6;7;8;9
240;1;424820;200;33;18;13;0;0;2;1;1
241;1;311788;306;48;20;0;0;10;0;0;2
242;1;358603;45;11;1;0;0;6;0;0;2
243;1;371794;119;23;4;9;1;0;0;0;2
244;1;418181;171;9;33;16;0;13;20;1;2
245;1;497843;218;10;69;0;2;6;0;0;2
246;1;464731;109;26;62;1;2;7;0;0;2
247;1;272092;386;98;41;15;0;0;2;2;14
248;1;318611;184;5;6;2;0;6;0;1;1
249;1;265579;0;68;0;16;0;4;0;0;13
250;1;1109214;0;0;0;0;0;0;0;0;0
251;1;405161;0;0;0;0;0;0;0;0;1
252;1;365149;118;38;3;0;0;0;0;0;2
253;1;378307;210;31;22;19;3;0;0;0;2
254;1;497738;260;58;78;5;2;7;0;0;2
255;1;1101659;720;84;25;14;52;15;1;0;2
256;1;345303;49;25;0;0;3;0;0;0;4
257;1;457571;448;38;36;13;115;3;8;56;10
258;1;351574;177;223;11;0;14;9;16;1;1
259;1;371516;265;136;19;3;8;0;1;0;4
260;1;252374;10;0;2;0;6;1;2;0;1
261;1;490593;691;111;44;18;16;1;2;21;11
262;1;391745;69;35;14;2;9;1;2;0;1
263;1;259038;0;0;0;0;0;0;0;0;0
264;1;371952;0;0;0;0;0;0;0;0;0
265;1;411804;0;0;0;0;0;0;0;0;0
266;1;484866;0;0;0;0;0;0;0;0;0
267;1;371952;0;0;0;0;0;0;0;0;0
268;1;604267;49;97;4;0;3;0;0;0;2
269;1;438107;153;36;4;51;4;0;13;0;4
270;1;497745;293;31;69;1;2;7;0;0;2
271;1;284197;74;39;0;20;2;0;0;2;1
272;1;371520;166;222;12;0;6;9;15;1;1
273;1;610934;116;5;0;2;0;2;1;1;3
274;1;1080626;1469;377;54;33;4;15;0;53;15
275;1;504360;314;37;69;1;2;7;0;0;2
276;1;1088300;704;105;37;31;14;11;62;20;4
277;1;563760;340;161;110;18;26;108;6;1;40
278;1;597400;218;79;28;7;38;0;2;6;2
279;1;516210;1092;615;40;27;54;2;8;22;6
280;1;351765;214;18;9;1;14;1;0;0;4
281;1;371000;556;142;65;90;88;1;8;1;1
282;1;497652;343;63;79;2;2;7;0;0;2
283;1;1087196;1543;375;54;34;4;14;0;53;15
284;1;365192;56;35;18;4;0;2;0;0;3
285;1;477827;277;38;70;1;2;7;0;0;2
286;1;398037;393;44;32;5;4;2;1;1;1
287;1;504416;334;8;15;13;1;3;0;1;1
288;1;378120;317;33;73;5;4;2;2;3;35
289;1;311158;739;165;32;18;31;11;5;14;1
290;1;331672;302;93;24;2;0;1;2;3;1
291;1;504508;150;50;71;2;2;7;0;0;2
292;1;384995;193;31;0;10;6;0;0;0;1
293;1;557264;517;36;70;4;5;5;9;12;6
294;1;411498;171;46;54;0;23;1;6;2;3
295;1;163536;0;0;22;0;0;29;0;0;3
296;1;590985;102;40;4;0;0;0;2;0;5
297;1;438372;0;0;0;0;0;0;0;0;0
298;1;405162;0;0;0;0;0;0;0;0;0
299;1;504792;0;0;0;0;0;0;0;0;0
300;1;425088;0;0;0;0;0;0;0;0;0
301;1;365151;131;15;1;2;6;1;2;0;1
302;1;477830;241;90;21;18;13;1;2;2;6
303;1;464628;218;14;70;0;2;6;0;0;2
304;1;451031;350;173;88;3;2;7;0;0;2
