ID_interaction;Class_interactions;0;1;2;3
111;1;332011;75;10;4
112;1;451593;51;10;2
113;1;338715;25;0;2
114;1;258993;21;20;4
115;1;391697;141;19;21
116;1;1095930;0;0;0
117;1;418446;0;0;0
118;1;318816;0;0;0
119;1;352026;0;0;0
120;1;365310;0;0;0
121;1;1069362;0;0;0
122;1;471582;0;0;0
123;1;278943;17;2;2
124;1;491401;96;9;2
125;1;351893;108;22;3
126;1;365310;0;0;0
127;1;278964;0;0;0
128;1;544644;0;0;0
129;1;405162;0;0;0
130;1;132430;0;0;0
131;1;272322;0;0;0
132;1;398520;0;0;0
133;1;949556;136;64;50
134;1;378542;41;9;2
135;1;365138;82;12;78
136;1;405034;103;8;17
137;1;338626;85;20;11
138;1;358547;41;78;2
139;1;318807;6;1;2
140;1;411800;2;0;2
141;1;451532;103;19;2
142;1;365297;6;5;2
143;1;571155;46;8;3
144;1;371692;228;15;17
145;1;391716;113;8;41
146;1;332005;47;44;4
147;1;418227;127;13;79
148;1;498044;95;9;2
149;1;736911;269;78;4
150;1;471582;0;0;0
151;1;1082418;116;83;29
152;1;630816;112;52;10
153;1;1301644;136;29;23
154;1;398454;48;12;6
155;1;371947;2;0;3
156;1;405162;0;0;0
157;1;1089288;0;0;0
158;1;325458;0;0;0
159;1;46740;0;0;0
160;1;451579;8;61;8
161;1;478118;96;8;2
162;1;46740;0;0;0
163;1;411678;121;1;4
164;1;571196;4;7;5
165;1;365255;24;28;3
166;1;351757;231;20;18
167;1;425030;42;14;2
168;1;325317;90;47;4
169;1;352003;20;1;2
170;1;471460;111;9;2
171;1;471459;112;9;2
172;1;371921;24;5;2
173;1;371899;40;11;2
174;1;1115617;153;18;68
175;1;471480;91;9;2
176;1;345281;49;26;28
177;1;478121;92;9;2
178;1;151833;48;4;20
179;1;438239;88;41;4
180;1;351895;117;9;5
181;1;345351;28;1;4
182;1;345155;202;23;4
183;1;391843;25;7;3
184;1;458248;33;13;4
185;1;391782;91;3;2
186;1;484866;0;0;0
187;1;385236;0;0;0
188;1;338742;0;0;0
189;1;1089288;0;0;0
190;1;398520;0;0;0
191;1;504792;0;0;0
192;1;418446;0;0;0
193;1;278964;0;0;0
194;1;358668;0;0;0
195;1;464832;98;8;2
196;1;424994;92;0;2
197;1;610796;213;26;29
198;1;983016;0;0;0
199;1;352026;0;0;0
200;1;257070;0;0;0
201;1;471519;58;1;4
202;1;358588;36;35;9
203;1;750439;90;14;3
204;1;1109033;144;23;14
205;1;1076004;0;0;0
206;1;338742;0;0;0
207;1;338742;0;0;0
208;1;591126;5;2;5
209;1;303766;9;11;24
210;1;338461;240;23;18
211;1;405110;20;12;20
212;1;384976;228;15;17
213;1;351965;47;10;4
214;1;1109054;90;68;2
215;1;159568;100;7;20
216;1;510775;578;56;25
217;1;624011;270;57;10
218;1;318732;77;5;2
219;1;498140;7;0;3
220;1;1082646;0;0;0
221;1;418446;0;0;0
222;1;365310;0;0;0
223;1;358668;0;0;0
224;1;431730;0;0;0
225;1;365310;0;0;0
226;1;332100;0;0;0
227;1;511434;0;0;0
228;1;411790;8;4;2
229;1;1095854;57;17;2
230;1;358668;0;0;0
231;1;8840;0;0;0
232;1;358668;0;0;0
233;1;1095930;0;0;0
234;1;391852;20;4;2
235;1;969602;113;11;6
236;1;325405;50;0;3
237;1;352017;2;2;5
238;1;292201;15;15;17
239;1;365290;16;0;4
240;1;425042;42;2;2
241;1;312142;20;10;2
242;1;358651;9;6;2
243;1;371935;14;1;2
244;1;418358;52;13;23
245;1;498068;72;8;2
246;1;464847;82;9;2
247;1;272539;93;0;18
248;1;318795;13;6;2
249;1;265647;16;4;13
250;1;1109214;0;0;0
251;1;405161;0;0;1
252;1;365275;33;0;2
253;1;378517;72;3;2
254;1;498029;110;9;2
255;1;1102412;90;68;2
256;1;345371;6;3;4
257;1;458019;87;118;74
258;1;351751;234;23;18
259;1;371840;99;8;5
260;1;252384;2;7;3
261;1;491284;173;17;34
262;1;391848;17;10;3
263;1;259038;0;0;0
264;1;371952;0;0;0
265;1;411804;0;0;0
266;1;484866;0;0;0
267;1;371952;0;0;0
268;1;604316;101;3;2
269;1;438260;91;17;4
270;1;498051;88;9;2
271;1;284271;59;2;3
272;1;371686;234;15;17
273;1;611054;3;2;5
274;1;1082408;151;19;68
275;1;504688;93;9;2
276;1;1089078;99;82;29
277;1;564261;128;134;47
278;1;597618;114;38;10
279;1;517723;261;60;32
280;1;351987;20;15;4
281;1;371698;155;97;2
282;1;498024;115;9;2
283;1;1089051;151;18;68
284;1;365282;23;2;3
285;1;478117;96;9;2
286;1;398430;81;6;3
287;1;504750;36;4;2
288;1;378461;87;8;38
289;1;312062;50;47;15
290;1;332052;41;1;6
291;1;504681;100;9;2
292;1;385207;22;6;1
293;1;557781;110;10;27
294;1;411669;100;24;11
295;1;163536;22;29;3
296;1;591087;44;0;7
297;1;438372;0;0;0
298;1;405162;0;0;0
299;1;504792;0;0;0
300;1;425088;0;0;0
301;1;365296;4;7;3
302;1;478071;129;14;10
303;1;464856;74;8;2
304;1;451449;196;9;2
305;1;451623;25;6;2
306;1;511357;72;3;2
307;1;517969;96;9;2
308;1;1082406;154;18;68
309;1;1109046;98;68;2
310;1;371937;13;0;2
311;1;405162;0;0;0
312;1;405162;0;0;0
313;1;365310;0;0;0
314;1;464940;0;0;0
315;1;391878;0;0;0
316;1;484850;9;0;7
317;1;498040;99;9;2
318;1;351995;18;6;7
319;1;1135543;153;18;68
320;1;418305;106;7;28
321;1;351987;20;15;4
322;1;604398;18;5;1
323;1;338717;22;1;2
324;1;318789;11;2;14
325;1;358542;59;13;54
326;1;365257;40;11;2
327;1;604223;152;45;2
328;1;451540;65;17;34
329;1;491418;80;8;2
330;1;597486;230;59;5
331;1;371900;41;9;2
332;1;358590;64;9;5
333;1;391860;15;0;3
334;1;617407;127;129;43
335;1;484771;91;2;2
336;1;229805;0;0;0
337;1;391878;0;0;0
338;1;1109214;0;0;0
339;1;358668;0;0;0
340;1;445014;0;0;0
341;1;431730;0;0;0
342;1;378594;0;0;0
343;1;498150;0;0;0
