ID_interaction;Class_interactions;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21
122;1;471582;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
123;1;278876;37;28;2;0;0;1;15;1;0;0;0;0;0;2;0;0;0;0;0;0;2
124;1;490971;149;265;0;16;23;0;69;2;0;2;2;0;1;6;0;0;0;0;0;0;2
125;1;351448;0;211;0;234;0;71;0;32;0;5;0;10;0;8;0;4;0;0;0;0;3
126;1;365310;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
127;1;278964;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
128;1;544644;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
129;1;405162;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
130;1;132430;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
131;1;272322;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
132;1;398520;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
133;1;947979;1011;0;475;0;91;40;0;78;0;18;45;0;4;0;15;45;0;3;0;0;2
134;1;378296;122;84;0;40;22;0;4;15;0;0;0;0;0;8;0;1;0;0;0;0;2
135;1;365043;0;0;95;0;0;33;0;0;49;0;0;8;0;0;4;0;0;12;0;0;66
136;1;404327;438;169;0;100;70;0;10;10;0;13;6;0;2;0;0;0;2;0;13;0;2
137;1;338482;0;0;144;0;0;0;85;0;0;0;10;0;0;10;0;0;0;0;0;0;11
138;1;358345;115;0;87;0;28;0;9;0;4;0;12;66;0;0;0;0;0;0;0;0;2
139;1;318541;147;75;23;21;0;0;2;1;3;0;1;0;0;0;0;0;0;0;0;0;2
140;1;411581;110;84;24;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;2
141;1;450327;734;327;0;144;62;23;0;5;13;0;15;1;0;0;3;0;0;0;1;0;1
142;1;365083;140;59;0;15;2;0;2;2;0;0;5;0;0;0;0;0;0;0;0;0;2
143;1;569035;1540;457;66;21;36;5;14;13;14;0;6;0;0;1;0;1;0;1;0;0;2
144;1;371526;0;166;0;0;217;0;0;11;0;0;6;0;9;0;0;15;0;0;1;0;1
145;1;390474;0;1032;0;210;0;0;93;0;20;0;0;8;0;0;0;0;26;0;0;0;15
146;1;331906;0;0;99;0;0;37;0;0;10;0;0;44;0;0;0;0;0;3;0;0;1
147;1;418032;0;0;195;0;0;117;0;0;10;0;0;8;0;0;5;0;0;13;0;0;66
148;1;497493;236;302;0;13;24;0;70;0;0;1;2;0;1;6;0;0;0;0;0;0;2
149;1;734724;1560;0;408;0;219;125;0;122;0;22;2;0;37;0;39;1;0;0;0;1;2
150;1;471582;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
151;1;1078647;1678;1151;524;330;88;47;20;16;27;6;1;13;1;0;11;57;5;9;11;3;1
152;1;629709;917;0;190;0;71;0;27;0;14;0;25;26;0;1;0;2;0;6;0;0;2
153;1;1299757;1128;408;260;91;46;43;17;27;3;0;13;6;0;0;9;1;9;5;1;0;8
154;1;397523;532;214;87;0;98;20;26;0;2;0;2;8;0;2;0;2;0;0;3;0;1
155;1;371929;0;0;18;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3
156;1;405162;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
157;1;1089288;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
158;1;325458;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
159;1;46740;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
160;1;451435;0;93;0;51;0;3;0;5;0;0;61;0;0;0;0;0;2;0;0;0;6
161;1;477677;147;268;0;26;17;0;78;0;0;1;2;0;0;6;0;0;0;0;0;0;2
162;1;46740;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
163;1;411176;226;261;0;15;3;109;0;0;9;0;0;0;1;0;0;2;0;0;1;0;1
164;1;570581;362;110;120;23;0;2;0;0;0;2;0;0;6;1;0;0;1;1;0;0;3
165;1;364628;447;155;0;25;2;0;20;2;0;0;22;0;3;3;0;0;1;0;0;0;2
166;1;351607;0;150;0;0;220;0;0;11;0;0;20;0;0;0;0;16;0;0;1;0;1
167;1;423943;768;247;0;72;11;14;0;0;17;0;0;14;0;0;0;0;0;0;1;0;1
168;1;325206;0;0;111;0;0;79;0;0;11;0;0;47;0;0;0;0;0;3;0;0;1
169;1;351436;217;280;21;49;2;2;3;10;3;0;1;0;0;0;0;0;0;0;0;0;2
170;1;470861;263;306;0;30;31;0;78;0;0;2;2;0;1;6;0;0;0;0;0;0;2
171;1;470975;177;281;0;26;32;0;78;0;0;2;2;0;1;6;0;0;0;0;0;0;2
172;1;371718;122;80;0;1;9;0;2;13;0;0;5;0;0;0;0;0;0;0;0;0;2
173;1;371683;91;82;0;43;20;0;5;15;0;0;0;0;2;8;0;1;0;0;0;0;2
174;1;1112659;1258;975;420;305;63;30;26;13;21;0;4;0;13;1;0;0;52;1;9;5;1
175;1;470894;254;306;0;26;20;0;70;0;0;1;2;0;1;6;0;0;0;0;0;0;2
176;1;343942;0;1003;0;336;0;0;32;0;17;0;0;25;0;1;0;0;26;0;0;0;2
177;1;477745;124;240;0;12;22;0;69;0;0;1;2;0;1;6;0;0;0;0;0;0;2
178;1;151290;224;208;68;43;20;17;0;8;1;2;0;2;2;0;0;0;2;2;8;6;2
179;1;437325;666;0;218;0;30;13;0;63;0;12;25;0;14;0;2;0;0;0;0;2;2
180;1;351749;78;0;68;0;5;0;11;0;101;0;0;9;0;0;0;2;0;1;0;0;2
181;1;345324;0;0;27;0;0;25;0;0;3;0;0;1;0;0;0;0;0;0;0;0;4
182;1;344537;413;0;205;0;149;0;42;0;11;0;10;13;0;0;0;2;0;0;0;0;2
183;1;391430;224;53;111;15;10;8;15;0;2;0;3;2;1;0;1;0;2;0;0;0;1
184;1;457737;0;416;0;95;0;22;0;9;0;2;0;0;0;13;0;0;0;1;0;1;2
185;1;391062;328;195;0;197;65;0;5;21;0;0;1;0;0;2;0;0;0;0;0;0;2
186;1;484866;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
187;1;385236;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
188;1;338742;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
189;1;1089288;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
