ID_interaction;Class_interactions;0;1;2;3;4;5;6
61;1;624031;135;135;10;35;0;2
62;1;10860;6;8;4;0;0;2
63;1;511344;60;14;14;0;0;2
64;1;405063;31;49;7;1;6;5
65;1;611064;0;0;0;0;0;0
66;1;637632;0;0;0;0;0;0
67;1;352026;0;0;0;0;0;0
68;1;511434;0;0;0;0;0;0
69;1;171331;17;4;12;14;0;2
70;1;504691;37;55;1;7;0;1
71;1;484770;21;64;3;6;0;2
72;1;424941;73;36;29;4;0;5
73;1;484749;36;70;3;6;0;2
74;1;12543;20;3;0;7;6;1
75;1;54408;0;87;0;31;0;4
76;1;217886;87;71;25;26;0;25
77;1;517778;206;47;7;0;4;34
78;1;1082223;327;58;14;21;1;2
79;1;365189;91;16;8;3;1;2
80;1;371865;20;54;8;2;2;1
81;1;268575;147;10;1;4;3;15
82;1;318554;248;9;1;0;0;4
83;1;411182;493;47;4;64;13;1
84;1;656936;446;95;29;46;2;4
85;1;484734;43;78;3;6;0;2
86;1;484791;41;19;10;1;3;1
87;1;183006;40;7;2;6;0;4
88;1;291734;241;91;23;31;3;2
89;1;278779;164;9;3;5;0;4
90;1;365214;63;20;0;10;1;2
91;1;444828;104;26;34;5;14;3
92;1;610464;431;93;25;41;8;2
93;1;311991;109;17;43;5;6;3
94;1;484772;14;70;2;6;0;2
95;1;936149;235;109;9;6;0;14
96;1;391878;0;0;0;0;0;0
97;1;325458;0;0;0;0;0;0
98;1;963090;0;0;0;0;0;0
99;1;405162;0;0;0;0;0;0
100;1;391878;0;0;0;0;0;0
101;1;451471;137;29;2;1;0;16
102;1;345121;220;11;14;0;16;2
103;1;305463;33;25;2;0;8;1
104;1;351526;196;152;110;11;10;21
105;1;371701;166;72;5;7;0;1
106;1;378380;117;86;2;3;3;3
107;1;384840;254;130;1;9;0;2
108;1;378492;62;29;0;8;1;2
109;1;171281;71;8;16;2;0;2
110;1;398268;192;25;18;2;0;15
111;1;331902;137;47;1;9;2;2
112;1;451563;47;21;19;4;0;2
113;1;338711;7;22;0;0;0;2
114;1;258764;229;19;16;6;0;4
115;1;391551;146;33;108;10;9;21
116;1;1095930;0;0;0;0;0;0
117;1;418446;0;0;0;0;0;0
118;1;318816;0;0;0;0;0;0
119;1;352026;0;0;0;0;0;0
120;1;365310;0;0;0;0;0;0
121;1;1069362;0;0;0;0;0;0
122;1;471582;0;0;0;0;0;0
123;1;278941;2;17;0;2;0;2
124;1;491385;39;71;4;7;0;2
125;1;351659;305;32;15;8;4;3
126;1;365310;0;0;0;0;0;0
127;1;278964;0;0;0;0;0;0
128;1;544644;0;0;0;0;0;0
129;1;405162;0;0;0;0;0;0
130;1;132430;0;0;0;0;0;0
131;1;272322;0;0;0;0;0;0
132;1;398520;0;0;0;0;0;0
133;1;948990;566;118;63;19;48;2
134;1;378502;62;19;0;8;1;2
135;1;365043;95;33;49;8;4;78
136;1;404934;170;20;19;2;2;15
137;1;338482;144;85;10;10;0;11
138;1;358460;115;13;12;66;0;2
139;1;318763;44;3;4;0;0;2
140;1;411775;26;1;0;0;0;2
141;1;451388;206;28;29;3;0;2
142;1;365282;17;4;5;0;0;2
143;1;571098;62;41;6;1;2;2
144;1;371692;217;11;6;9;15;2
145;1;391506;210;93;28;0;26;15
146;1;331906;99;37;10;44;0;4
147;1;418032;195;117;10;8;5;79
148;1;498031;37;70;3;7;0;2
149;1;736284;627;247;24;76;1;3
150;1;471582;0;0;0;0;0;0
151;1;1082000;465;63;20;12;71;15
152;1;630626;261;41;25;27;8;2
153;1;1301293;397;87;22;9;15;9
154;1;398269;185;48;2;10;2;4
155;1;371929;18;2;0;0;0;3
156;1;405162;0;0;0;0;0;0
157;1;1089288;0;0;0;0;0;0
158;1;325458;0;0;0;0;0;0
159;1;46740;0;0;0;0;0;0
160;1;451528;51;8;61;0;2;6
161;1;478092;43;78;3;6;0;2
162;1;46740;0;0;0;0;0;0
163;1;411663;18;109;9;1;2;2
164;1;571053;143;2;2;7;2;3
165;1;365230;27;22;22;6;1;2
166;1;351757;220;11;20;0;16;2
167;1;424958;83;14;31;0;0;2
168;1;325206;111;79;11;47;0;4
169;1;351933;72;15;4;0;0;2
170;1;471430;61;78;4;7;0;2
171;1;471433;58;78;4;7;0;2
172;1;371920;10;15;5;0;0;2
173;1;371856;63;20;0;10;1;2
174;1;1114892;788;69;25;14;53;15
175;1;471454;46;70;3;7;0;2
176;1;344945;336;32;42;1;26;2
177;1;478109;34;69;3;7;0;2
