ID_interaction;Class_interactions;0;1;2;3;4;5;6;7;8
219;1;498137;3;1;6;0;0;0;2;1
220;1;1082646;0;0;0;0;0;0;0;0
221;1;418446;0;0;0;0;0;0;0;0
222;1;365310;0;0;0;0;0;0;0;0
223;1;358668;0;0;0;0;0;0;0;0
224;1;431730;0;0;0;0;0;0;0;0
225;1;365310;0;0;0;0;0;0;0;0
226;1;332100;0;0;0;0;0;0;0;0
227;1;511434;0;0;0;0;0;0;0;0
228;1;411709;81;5;3;0;0;4;0;2
229;1;1095532;322;56;0;1;11;6;0;2
230;1;358668;0;0;0;0;0;0;0;0
231;1;8840;0;0;0;0;0;0;0;0
232;1;358668;0;0;0;0;0;0;0;0
233;1;1095930;0;0;0;0;0;0;0;0
234;1;391705;87;60;20;0;4;0;0;2
235;1;969197;405;72;41;4;6;1;2;4
236;1;325277;128;46;3;1;0;0;0;3
237;1;351846;170;1;2;0;1;1;3;2
238;1;291873;61;267;13;2;9;6;13;4
239;1;365231;59;14;2;0;0;2;0;2
240;1;424820;200;33;18;13;0;2;0;2
241;1;311788;306;48;20;0;0;10;0;2
242;1;358603;48;8;1;0;0;6;0;2
243;1;371900;35;3;8;4;0;0;0;2
244;1;418303;55;21;17;14;13;20;1;2
245;1;497843;225;3;69;2;0;6;0;2
246;1;464731;116;19;62;3;1;6;0;2
247;1;272388;151;67;24;2;0;2;2;14
248;1;318611;184;11;2;0;6;0;1;1
249;1;265579;68;0;16;0;4;0;0;13
250;1;1109214;0;0;0;0;0;0;0;0
251;1;405161;0;0;0;0;0;0;0;1
252;1;365224;51;31;2;0;0;0;0;2
253;1;378307;210;31;41;3;0;0;0;2
254;1;497738;291;27;80;5;1;6;0;2
255;1;1102088;324;72;17;1;62;6;0;2
256;1;345303;68;6;0;1;2;0;0;4
257;1;457571;448;70;17;82;34;10;56;10
258;1;351574;177;223;11;14;9;16;1;1
259;1;371516;324;77;22;3;5;0;1;4
260;1;252374;10;2;0;5;1;3;0;1
261;1;490593;691;150;23;1;16;2;21;11
262;1;391745;69;36;15;8;1;3;0;1
263;1;259038;0;0;0;0;0;0;0;0
264;1;371952;0;0;0;0;0;0;0;0
265;1;411804;0;0;0;0;0;0;0;0
266;1;484866;0;0;0;0;0;0;0;0
267;1;371952;0;0;0;0;0;0;0;0
268;1;604267;49;97;4;3;0;0;0;2
269;1;438107;153;36;4;55;0;13;0;4
270;1;497745;306;18;69;3;1;6;0;2
271;1;284197;74;39;20;0;2;0;2;1
272;1;371520;166;222;12;6;9;15;1;1
273;1;610934;116;5;0;2;1;1;2;3
274;1;1081675;733;96;34;25;15;0;53;15
275;1;504360;328;23;69;3;1;6;0;2
276;1;1088300;704;127;42;17;1;73;20;4
277;1;563760;340;241;30;44;88;26;1;40
278;1;597400;218;79;35;12;26;2;6;2
279;1;516210;1513;194;67;28;28;4;26;6
280;1;351765;222;10;10;14;1;0;0;4
281;1;371556;142;65;90;88;1;8;1;1
282;1;497652;372;34;79;4;1;6;0;2
283;1;1088276;775;95;35;25;14;0;53;15
284;1;365192;83;21;8;1;2;0;0;3
285;1;477827;290;25;70;3;1;6;0;2
286;1;398037;393;72;9;2;4;1;1;1
287;1;504416;334;19;17;0;1;3;1;1
288;1;378120;317;33;73;7;4;2;3;35
289;1;311897;165;32;18;31;11;5;14;1
290;1;331672;302;93;26;0;1;2;3;1
291;1;504508;173;27;71;4;1;6;0;2
292;1;384995;212;12;10;5;1;0;0;1
293;1;557264;517;100;10;5;1;13;12;6
294;1;411498;171;46;54;23;1;6;2;3
295;1;163536;0;0;22;0;0;29;0;3
296;1;590985;102;40;4;0;0;2;0;5
297;1;438372;0;0;0;0;0;0;0;0
298;1;405162;0;0;0;0;0;0;0;0
299;1;504792;0;0;0;0;0;0;0;0
300;1;425088;0;0;0;0;0;0;0;0
301;1;365151;131;16;2;5;1;3;0;1
302;1;477830;241;105;24;9;4;3;2;6
303;1;464628;228;4;70;2;0;6;0;2
304;1;451031;418;105;89;4;1;6;0;2
305;1;451471;152;5;18;7;0;1;0;2
306;1;511038;319;55;17;0;1;2;1;1
307;1;517679;290;25;70;3;1;6;0;2
308;1;1081633;773;95;38;25;14;0;53;15
309;1;1108493;553;80;17;1;62;6;0;2
310;1;371893;44;2;11;0;0;0;0;2
311;1;405162;0;0;0;0;0;0;0;0
312;1;405162;0;0;0;0;0;0;0;0
313;1;365310;0;0;0;0;0;0;0;0
314;1;464940;0;0;0;0;0;0;0;0
315;1;391878;0;0;0;0;0;0;0;0
316;1;484773;77;4;5;0;0;0;2;5
317;1;497694;346;25;72;4;1;6;0;2
318;1;351870;125;12;6;0;0;6;0;7
319;1;1134819;724;91;41;25;14;0;53;15
320;1;417127;951;227;86;20;7;0;26;2
321;1;351679;308;10;10;14;1;0;0;4
322;1;604168;229;4;15;4;1;0;0;1
323;1;338668;49;11;8;4;0;0;0;2
324;1;318413;334;42;3;8;1;1;13;1
325;1;358487;55;39;20;0;0;64;1;2
326;1;365130;127;20;20;0;2;9;0;2
327;1;603961;235;76;103;10;35;0;0;2
328;1;451007;533;48;17;1;16;2;21;11
329;1;491152;266;8;71;3;0;6;0;2
330;1;597201;285;142;88;17;26;18;1;2
331;1;371778;122;22;19;0;0;9;0;2
332;1;358561;29;9;55;4;2;3;4;1
333;1;391634;220;17;4;0;0;0;0;3
334;1;616928;319;237;25;51;83;20;1;42
335;1;484509;262;20;70;1;1;1;0;2
336;1;229805;0;0;0;0;0;0;0;0
337;1;391878;0;0;0;0;0;0;0;0
338;1;1109214;0;0;0;0;0;0;0;0
339;1;358668;0;0;0;0;0;0;0;0
340;1;445014;0;0;0;0;0;0;0;0
341;1;431730;0;0;0;0;0;0;0;0
342;1;378594;0;0;0;0;0;0;0;0
343;1;498150;0;0;0;0;0;0;0;0
344;1;318816;0;0;0;0;0;0;0;0
345;1;155742;28;0;24;4;0;1;0;1
346;1;391552;112;50;76;21;10;44;9;4
347;1;167305;121;39;4;0;0;0;2;14
348;1;438317;0;19;0;14;0;21;0;1
349;1;338742;0;0;0;0;0;0;0;0
350;1;378594;0;0;0;0;0;0;0;0
351;1;470950;408;61;19;81;19;7;36;1
352;1;351862;133;10;8;0;0;6;0;7
353;1;518076;0;0;0;0;0;0;0;0
354;1;318816;0;0;0;0;0;0;0;0
355;1;318816;0;0;0;0;0;0;0;0
356;1;371952;0;0;0;0;0;0;0;0
357;1;352026;0;0;0;0;0;0;0;0
358;1;398471;13;9;20;1;0;2;0;4
359;1;384599;322;149;26;11;68;20;1;40
360;1;1088717;409;74;17;1;62;6;0;2
361;1;233052;9;2;0;5;0;0;0;2
362;1;969357;246;57;60;5;6;0;0;1
363;1;637286;242;79;18;5;0;0;0;2
364;1;491160;256;9;72;3;0;6;0;2
365;1;630623;261;83;17;4;0;0;0;2
366;1;1115363;324;76;17;1;67;6;0;2
367;1;311991;134;21;12;5;7;2;0;2
368;1;524702;10;4;0;0;0;0;0;2
369;1;378356;74;23;46;73;11;0;7;4
370;1;338242;342;121;19;2;10;2;3;1
371;1;424910;88;20;67;0;0;0;1;2
372;1;1002252;536;77;44;17;11;0;1;4
373;1;444661;168;52;4;0;86;8;0;35
374;1;152530;206;20;3;2;0;0;0;5
375;1;624009;248;66;18;5;0;0;0;2
376;1;1081857;573;82;27;25;14;0;53;15
377;1;1128649;324;74;17;1;67;6;0;2
378;1;391655;198;8;10;5;1;0;0;1
379;1;331219;540;282;26;10;9;0;13;1
380;1;384571;346;0;172;58;0;74;14;1
381;1;630379;286;165;90;25;26;17;0;2
382;1;358541;23;0;92;1;0;10;0;1
383;1;351662;166;149;10;12;9;16;1;1
384;1;345059;219;28;65;2;10;0;0;1
385;1;1135767;0;0;9;0;0;1;0;5
386;1;371952;0;0;0;0;0;0;0;0
387;1;411804;0;0;0;0;0;0;0;0
388;1;345384;0;0;0;0;0;0;0;0
389;1;365310;0;0;0;0;0;0;0;0
390;1;1115856;0;0;0;0;0;0;0;0
391;1;305398;75;27;13;17;0;0;0;2
392;1;397899;434;58;47;4;30;41;6;1
393;1;597553;127;30;21;17;26;3;1;2
394;1;338462;246;18;2;5;5;2;0;2
395;1;557440;200;208;8;5;12;47;1;7
396;1;1122024;315;68;18;2;63;6;0;2
397;1;391686;92;23;68;2;1;3;1;2
398;1;385149;73;1;11;0;0;0;0;2
399;1;1134690;801;139;42;17;1;68;20;4
400;1;385236;0;0;0;0;0;0;0;0
401;1;351886;43;28;1;65;0;0;0;3
402;1;418241;125;33;38;0;4;4;0;1
403;1;590570;277;139;88;17;26;18;1;2
404;1;338432;253;28;17;2;4;2;3;1
405;1;291921;238;25;11;25;11;1;14;2
406;1;491119;282;23;71;4;1;6;0;2
407;1;411750;44;3;4;0;0;0;0;3
408;1;976123;153;60;19;2;0;1;0;16
409;1;464508;309;32;78;4;1;6;0;2
410;1;325404;45;0;3;4;0;0;0;2
411;1;398461;41;2;2;9;1;3;0;1
412;1;312104;30;30;1;2;2;4;0;1
413;1;591065;28;0;2;1;0;0;0;42
414;1;604422;0;0;0;0;0;0;0;0
415;1;425088;0;0;0;0;0;0;0;0
416;1;42845;0;0;0;0;0;0;0;0
