ID_interaction;Class_interactions;0;1;2;3;4;5;6;7;8;9;10;11
266;1;484866;0;0;0;0;0;0;0;0;0;0;0
267;1;371952;0;0;0;0;0;0;0;0;0;0;0
268;1;604250;17;49;97;4;0;3;0;0;0;0;2
269;1;437423;684;153;36;4;51;4;0;13;0;0;4
270;1;497745;293;13;18;69;1;2;1;6;0;0;2
271;1;284197;74;0;39;0;20;2;0;0;0;2;1
272;1;371520;166;0;222;12;0;6;9;0;15;1;1
273;1;610934;107;13;1;0;2;0;1;1;1;1;3
274;1;1080626;1469;313;96;34;21;4;15;0;52;10;6
275;1;504360;314;14;23;69;1;2;1;6;0;0;2
276;1;1087262;1494;322;53;42;4;13;1;68;14;14;1
277;1;563760;340;161;80;30;18;26;88;20;6;1;40
278;1;596393;1007;218;79;28;7;12;26;0;2;6;2
279;1;516210;1092;421;194;40;27;54;2;4;4;22;6
280;1;351765;214;8;10;9;1;14;1;0;0;0;4
281;1;371000;556;142;65;90;0;88;1;8;1;0;1
282;1;497652;343;29;34;79;2;2;1;6;0;0;2
283;1;1087196;1543;312;95;35;21;4;14;0;52;10;6
284;1;365192;56;34;14;5;4;0;2;0;0;0;3
285;1;477827;277;13;25;70;1;2;1;6;0;0;2
286;1;398037;358;35;72;4;5;4;2;0;1;1;1
287;1;504416;296;38;19;4;13;1;0;3;0;1;1
288;1;378120;260;81;9;73;5;4;2;2;0;3;35
289;1;311158;739;165;32;18;0;31;11;5;14;0;1
290;1;331672;243;137;15;26;0;0;1;0;2;3;1
291;1;504508;150;23;27;71;2;2;1;6;0;0;2
292;1;384967;218;22;12;5;5;6;0;0;0;0;1
293;1;557264;400;117;100;6;4;5;1;4;14;7;6
294;1;411498;171;0;46;54;0;23;1;0;6;2;3
295;1;163536;0;0;0;22;0;0;0;29;0;0;3
296;1;590985;102;0;40;4;0;0;0;0;2;0;5
297;1;438372;0;0;0;0;0;0;0;0;0;0;0
298;1;405162;0;0;0;0;0;0;0;0;0;0;0
299;1;504792;0;0;0;0;0;0;0;0;0;0;0
300;1;425088;0;0;0;0;0;0;0;0;0;0;0
301;1;365081;125;90;2;2;0;5;1;1;2;0;1
302;1;477830;134;107;105;6;18;13;0;1;4;0;6
303;1;464628;218;10;4;70;0;2;0;6;0;0;2
304;1;451031;350;68;105;89;2;2;1;6;0;0;2
305;1;451471;101;51;5;18;2;5;0;1;0;0;2
306;1;511038;275;44;55;0;17;1;0;2;0;1;1
307;1;517679;277;13;25;70;1;2;1;6;0;0;2
308;1;1080608;1490;308;95;38;21;4;14;0;52;10;6
309;1;1108071;767;208;80;4;14;52;10;6;0;0;2
310;1;371893;41;3;2;11;0;0;0;0;0;0;2
311;1;405162;0;0;0;0;0;0;0;0;0;0;0
312;1;405162;0;0;0;0;0;0;0;0;0;0;0
313;1;365310;0;0;0;0;0;0;0;0;0;0;0
314;1;464940;0;0;0;0;0;0;0;0;0;0;0
315;1;391878;0;0;0;0;0;0;0;0;0;0;0
316;1;484593;180;77;4;5;0;0;0;0;2;0;5
317;1;497694;327;19;25;72;2;2;1;6;0;0;2
318;1;351870;125;0;12;0;6;0;0;6;0;0;7
319;1;1133811;1424;308;91;41;21;4;14;0;52;10;6
320;1;417127;951;227;0;86;20;7;0;0;26;0;2
321;1;351679;282;26;10;9;1;14;1;0;0;0;4
322;1;604075;319;4;3;14;1;4;1;0;0;0;1
323;1;338588;107;22;11;8;3;1;0;0;0;0;2
324;1;318413;334;42;0;3;8;1;0;1;13;0;1
325;1;358348;139;55;39;11;9;0;0;13;51;1;2
326;1;365130;84;43;20;20;0;0;2;9;0;0;2
327;1;603630;485;108;49;103;0;10;35;0;0;0;2
328;1;451007;453;80;48;4;13;16;1;0;22;1;11
329;1;491152;252;14;8;71;1;2;0;6;0;0;2
330;1;596194;1007;285;142;70;18;17;26;16;2;1;2
331;1;371778;82;40;22;19;0;0;0;9;0;0;2
332;1;358561;28;1;9;0;55;6;0;3;0;4;1
333;1;391634;196;30;11;2;2;0;0;0;0;0;3
334;1;616928;319;160;77;25;25;26;83;20;0;1;42
335;1;484509;251;11;20;70;1;0;1;1;0;0;2
336;1;229805;0;0;0;0;0;0;0;0;0;0;0
337;1;391878;0;0;0;0;0;0;0;0;0;0;0
