ID_interaction;Class_interactions;0
674;1;358668
675;1;371952
676;1;478224
677;1;484866
678;1;398520
679;1;385236
680;1;411804
681;1;425088
682;1;611064
683;1;597780
684;1;352026
685;1;1076004
686;1;405162
687;1;378594
688;1;597780
689;1;564570
690;1;345384
691;1;391878
692;1;411804
693;1;241490
694;1;358668
695;1;332100
696;1;332100
697;1;6460
698;1;511434
699;1;391878
700;1;617706
701;1;425088
702;1;484866
703;1;292248
704;1;405162
705;1;365310
706;1;1095930
707;1;617706
708;1;285606
709;1;498150
710;1;0
711;1;464940
712;1;398520
713;1;62320
714;1;471582
715;1;365310
716;1;504792
717;1;438372
718;1;352026
719;1;617706
720;1;345384
721;1;391878
722;1;365310
723;1;411804
724;1;411804
725;1;425088
726;1;312174
727;1;378594
728;1;630990
729;1;398520
730;1;411804
731;1;345384
732;1;332100
733;1;458298
734;1;371952
735;1;438372
736;1;438372
737;1;630990
738;1;624348
739;1;332100
740;1;491508
741;1;405162
742;1;285606
743;1;155800
744;1;54530
745;1;391878
746;1;996300
747;1;491508
748;1;1095930
749;1;371952
750;1;591138
751;1;398520
752;1;504792
753;1;371952
754;1;371952
755;1;551286
756;1;305532
757;1;484866
758;1;1042794
759;1;385236
760;1;491508
761;1;378594
762;1;365310
763;1;597780
764;1;411804
765;1;425088
766;1;478224
767;1;352026
768;1;524718
769;1;391878
770;1;292248
771;1;391878
772;1;418446
773;1;983016
774;1;371952
775;1;398520
776;1;391878
777;1;391878
778;1;385236
779;1;491508
780;1;332100
781;1;445014
782;1;445014
783;1;352026
784;1;491508
785;1;391878
786;1;264860
787;1;175275
788;1;391878
789;1;491508
790;1;617706
791;1;577854
792;1;365310
793;1;491508
794;1;611064
795;1;405162
796;1;498150
797;1;498150
798;1;365310
799;1;1102572
800;1;398520
801;1;464940
802;1;62320
803;1;425088
804;1;431730
805;1;391878
806;1;285606
807;1;591138
808;1;358668
809;1;630990
810;1;391878
811;1;305532
812;1;498150
813;1;318816
814;1;305532
815;1;398520
816;1;292125
817;1;332100
818;1;624348
819;1;365310
820;1;345384
821;1;391878
822;1;511434
823;1;398520
824;1;445014
825;1;1115856
826;1;464940
827;1;345384
828;1;518076
829;1;332100
830;1;358668
831;1;405162
832;1;604422
833;1;524718
834;1;418446
835;1;345384
836;1;1122498
837;1;385236
838;1;352026
839;1;371952
840;1;365310
841;1;371952
842;1;345384
843;1;478224
844;1;591138
845;1;425088
846;1;398520
847;1;338742
848;1;617706
849;1;371952
850;1;425088
851;1;338742
852;1;365310
853;1;338742
854;1;365310
855;1;617706
856;1;352026
857;1;445014
858;1;371952
859;1;385236
860;1;257070
861;1;312174
862;1;155800
863;1;617706
864;1;1095930
865;1;208936
866;1;233700
867;1;498150
868;1;1095930
869;1;471582
870;1;418446
871;1;405162
872;1;611064
873;1;398520
874;1;371952
875;1;411804
