ID_interaction;Class_interactions;0;1;2;3;4
153;1;1301553;224;22;19;14
154;1;398356;144;12;4;4
155;1;371947;2;0;0;3
156;1;405162;0;0;0;0
157;1;1089288;0;0;0;0
158;1;325458;0;0;0;0
159;1;46740;0;0;0;0
160;1;451528;54;66;0;8
161;1;478092;121;3;6;2
162;1;46740;0;0;0;0
163;1;411678;112;9;3;2
164;1;571192;6;7;3;4
165;1;365230;47;24;6;3
166;1;351757;231;20;16;2
167;1;425030;25;31;0;2
168;1;325317;79;58;0;4
169;1;351954;56;14;0;2
170;1;471430;139;4;7;2
171;1;471433;136;4;7;2
172;1;371920;12;18;0;2
173;1;371856;68;15;11;2
174;1;1115312;424;38;14;68
175;1;471454;116;3;7;2
176;1;344945;368;42;27;2
177;1;478109;103;3;7;2
178;1;151790;88;5;4;18
179;1;438209;106;37;16;4
180;1;351895;16;110;2;3
181;1;345351;25;4;0;4
182;1;345155;191;34;2;2
183;1;391833;33;8;3;1
184;1;458248;31;2;13;4
185;1;391585;267;22;2;2
186;1;484866;0;0;0;0
187;1;385236;0;0;0;0
188;1;338742;0;0;0;0
189;1;1089288;0;0;0;0
190;1;398520;0;0;0;0
191;1;504792;0;0;0;0
192;1;418446;0;0;0;0
193;1;278964;0;0;0;0
194;1;358668;0;0;0;0
195;1;464807;122;3;6;2
196;1;424949;134;3;0;2
197;1;610607;342;77;22;16
198;1;983016;0;0;0;0
199;1;352026;0;0;0;0
200;1;257070;0;0;0;0
201;1;471509;46;22;3;2
202;1;358564;51;43;1;9
203;1;750435;90;18;1;2
204;1;1108867;218;111;4;14
205;1;1076004;0;0;0;0
206;1;338742;0;0;0;0
207;1;338742;0;0;0;0
208;1;591122;7;2;3;4
209;1;303766;8;12;0;24
210;1;338461;240;14;25;2
211;1;405107;23;11;3;18
212;1;384976;228;6;24;2
213;1;351868;142;10;4;2
214;1;1109021;109;66;16;2
215;1;159514;127;31;5;18
216;1;510775;489;140;11;19
217;1;624011;245;67;17;8
218;1;318632;135;47;0;2
219;1;498140;1;6;0;3
220;1;1082646;0;0;0;0
221;1;418446;0;0;0;0
222;1;365310;0;0;0;0
223;1;358668;0;0;0;0
224;1;431730;0;0;0;0
225;1;365310;0;0;0;0
226;1;332100;0;0;0;0
227;1;511434;0;0;0;0
228;1;411790;5;3;4;2
229;1;1095840;70;2;16;2
230;1;358668;0;0;0;0
231;1;8840;0;0;0;0
232;1;358668;0;0;0;0
233;1;1095930;0;0;0;0
234;1;391792;80;4;0;2
235;1;969541;146;38;2;5
236;1;325395;56;4;0;3
237;1;352016;3;0;2;5
238;1;291934;280;11;19;4
239;1;365290;16;0;2;2
240;1;425020;51;13;2;2
241;1;312094;68;0;10;2
242;1;358648;12;0;6;2
243;1;371913;27;10;0;2
244;1;418352;42;16;33;3
245;1;498061;79;2;6;2
246;1;464840;88;3;7;2
247;1;272478;139;15;2;16
248;1;318795;11;2;6;2
249;1;265579;68;16;4;13
250;1;1109214;0;0;0;0
251;1;405161;0;0;0;1
252;1;365267;41;0;0;2
253;1;378517;53;22;0;2
254;1;497998;136;7;7;2
255;1;1102379;109;66;16;2
256;1;345352;25;3;0;4
257;1;458019;74;128;11;66
258;1;351751;234;14;25;2
259;1;371781;155;11;1;4
260;1;252384;2;6;3;1
261;1;491284;155;34;3;32
262;1;391814;49;11;3;1
263;1;259038;0;0;0;0
264;1;371952;0;0;0;0
265;1;411804;0;0;0;0
266;1;484866;0;0;0;0
267;1;371952;0;0;0;0
268;1;604316;101;3;0;2
269;1;438260;40;55;13;4
270;1;498038;100;3;7;2
271;1;284271;39;22;0;3
272;1;371686;234;6;24;2
273;1;611050;5;2;3;4
274;1;1082095;431;37;15;68
275;1;504674;106;3;7;2
276;1;1089004;142;45;73;24
277;1;564100;271;44;114;41
278;1;597618;107;45;2;8
279;1;517302;655;81;10;28
280;1;351979;27;15;1;4
281;1;371556;207;178;9;2
282;1;497995;142;4;7;2
283;1;1088739;429;38;14;68
284;1;365248;53;4;2;3
285;1;478104;108;3;7;2
286;1;398430;76;9;3;2
287;1;504750;23;14;3;2
288;1;378437;106;9;4;38
289;1;311897;197;49;16;15
290;1;331974;117;2;3;4
291;1;504658;121;4;7;2
292;1;385188;31;16;0;1
293;1;557781;106;9;14;18
294;1;411669;100;23;7;5
295;1;163536;22;0;29;3
296;1;591087;44;0;2;5
297;1;438372;0;0;0;0
298;1;405162;0;0;0;0
299;1;504792;0;0;0;0
300;1;425088;0;0;0;0
301;1;365282;16;8;3;1
302;1;478071;111;31;3;8
303;1;464846;84;2;6;2
304;1;451381;261;5;7;2
305;1;451572;63;18;1;2
306;1;511357;55;18;2;2
307;1;517956;108;3;7;2
308;1;1082098;429;37;14;68
309;1;1108970;160;66;16;2
310;1;371934;6;10;0;2
311;1;405162;0;0;0;0
312;1;405162;0;0;0;0
313;1;365310;0;0;0;0
314;1;464940;0;0;0;0
315;1;391878;0;0;0;0
316;1;484773;81;5;0;7
317;1;498021;114;6;7;2
318;1;351995;12;6;6;7
319;1;1135235;427;38;14;68
320;1;418078;313;27;26;2
321;1;351961;45;15;1;4
322;1;604397;18;6;0;1
323;1;338695;35;10;0;2
324;1;318747;45;9;14;1
325;1;358542;50;9;64;3
326;1;365214;68;15;11;2
327;1;604196;159;65;0;2
328;1;451540;52;29;3;32
329;1;491404;91;5;6;2
330;1;597486;212;61;18;3
331;1;371860;66;15;9;2
332;1;358590;9;61;3;5
333;1;391830;43;2;0;3
334;1;617247;262;51;103;43
335;1;484760;101;1;2;2
336;1;229805;0;0;0;0
337;1;391878;0;0;0;0
338;1;1109214;0;0;0;0
339;1;358668;0;0;0;0
340;1;445014;0;0;0;0
341;1;431730;0;0;0;0
342;1;378594;0;0;0;0
343;1;498150;0;0;0;0
344;1;318816;0;0;0;0
345;1;155770;24;4;1;1
346;1;391632;83;97;61;5
347;1;167367;101;1;2;14
348;1;438317;19;14;21;1
349;1;338742;0;0;0;0
350;1;378594;0;0;0;0
351;1;471358;63;117;7;37
352;1;351995;10;8;6;7
353;1;518076;0;0;0;0
354;1;318816;0;0;0;0
355;1;318816;0;0;0;0
356;1;371952;0;0;0;0
357;1;352026;0;0;0;0
358;1;398484;25;5;2;4
359;1;384921;175;11;88;41
360;1;1089092;112;66;16;2
361;1;233060;3;5;0;2
362;1;969603;115;7;6;1
363;1;637528;95;7;0;2
364;1;491401;94;5;6;2
365;1;630884;98;6;0;2
366;1;1115654;113;71;16;2
367;1;312116;31;16;9;2
368;1;524712;4;0;0;2
369;1;378430;69;73;11;11
370;1;338584;137;13;4;4
371;1;424998;22;65;0;3
372;1;1002734;144;58;1;5
373;1;444829;52;72;26;35
374;1;152736;22;3;0;5
375;1;624257;82;7;0;2
376;1;1082217;315;32;14;68
377;1;1128940;111;71;16;2
378;1;391847;14;16;0;1
379;1;331759;308;19;13;1
380;1;384917;172;58;74;15
381;1;630665;237;69;17;2
382;1;358564;92;1;10;1
383;1;351828;159;12;25;2
384;1;345278;91;7;7;1
385;1;1135767;9;0;1;5
386;1;371952;0;0;0;0
387;1;411804;0;0;0;0
388;1;345384;0;0;0;0
389;1;365310;0;0;0;0
390;1;1115856;0;0;0;0
391;1;305473;40;17;0;2
392;1;398333;92;47;41;7
393;1;597680;49;45;3;3
394;1;338672;54;7;7;2
395;1;557640;216;5;59;8
396;1;1122308;104;68;16;2
397;1;391778;26;68;3;3
398;1;385216;8;10;0;2
399;1;1135491;154;45;68;24
400;1;385236;0;0;0;0
401;1;351886;71;66;0;3
402;1;418366;51;24;4;1
403;1;590847;209;61;18;3
404;1;338685;43;6;4;4
405;1;291921;263;36;12;16
406;1;491385;108;6;7;2
407;1;411785;14;2;0;3
408;1;976241;107;9;1;16
409;1;464789;138;4;7;2
410;1;325427;24;5;0;2
411;1;398502;2;12;3;1
412;1;312134;31;4;4;1
