ID_interaction;Class_interactions;0;1;2;3;4;5;6;7
211;1;405070;40;20;0;12;0;18;2
212;1;384811;165;217;11;6;9;15;2
213;1;351784;181;45;2;8;2;2;2
214;1;1108730;324;76;14;53;15;0;2
215;1;159421;147;73;27;4;3;4;16
216;1;510163;612;489;89;51;5;10;15
217;1;623696;315;245;25;42;15;8;2
218;1;318632;100;35;42;5;0;0;2
219;1;498137;3;1;6;0;0;2;1
220;1;1082646;0;0;0;0;0;0;0
221;1;418446;0;0;0;0;0;0;0
222;1;365310;0;0;0;0;0;0;0
223;1;358668;0;0;0;0;0;0;0
224;1;431730;0;0;0;0;0;0;0
225;1;365310;0;0;0;0;0;0;0
226;1;332100;0;0;0;0;0;0;0
227;1;511434;0;0;0;0;0;0;0
228;1;411709;81;5;3;0;4;0;2
229;1;1095532;322;56;1;2;15;0;2
230;1;358668;0;0;0;0;0;0;0
231;1;8840;0;0;0;0;0;0;0
232;1;358668;0;0;0;0;0;0;0
233;1;1095930;0;0;0;0;0;0;0
234;1;391792;60;20;0;4;0;0;2
235;1;969197;405;85;28;10;1;2;4
236;1;325277;128;46;4;0;0;0;3
237;1;351846;171;2;0;0;2;3;2
238;1;291934;267;13;2;9;6;13;4
239;1;365231;59;16;0;0;0;2;2
240;1;424991;51;17;25;0;2;0;2
241;1;312094;48;20;0;0;10;0;2
242;1;358603;48;9;0;0;6;0;2
243;1;371900;35;5;9;1;0;0;2
244;1;418303;55;36;16;4;9;21;2
245;1;497843;225;72;0;2;6;0;2
246;1;464731;116;81;1;3;6;0;2
247;1;272388;151;78;15;0;0;4;14
248;1;318611;184;11;2;0;6;0;2
249;1;265579;68;0;16;4;0;0;13
250;1;1109214;0;0;0;0;0;0;0
251;1;405161;0;0;0;0;0;0;1
252;1;365224;51;33;0;0;0;0;2
253;1;378307;210;53;19;3;0;0;2
254;1;497738;291;105;5;3;6;0;2
255;1;1102088;324;76;14;53;15;0;2
256;1;345303;68;6;0;3;0;0;4
257;1;457571;448;70;17;115;3;64;10
258;1;351574;177;223;11;14;9;16;2
259;1;371516;324;96;3;8;0;1;4
260;1;252374;10;2;0;6;1;2;1
261;1;490593;691;150;23;16;1;22;12
262;1;391745;103;15;2;9;1;2;1
263;1;259038;0;0;0;0;0;0;0
264;1;371952;0;0;0;0;0;0;0
265;1;411804;0;0;0;0;0;0;0
266;1;484866;0;0;0;0;0;0;0
267;1;371952;0;0;0;0;0;0;0
268;1;604267;49;101;0;3;0;0;2
269;1;438107;153;40;51;4;13;0;4
270;1;497745;306;87;1;3;6;0;2
271;1;284197;74;39;20;2;0;2;1
272;1;371520;166;222;12;6;9;15;2
273;1;610993;61;1;2;0;2;2;3
274;1;1081675;733;118;33;17;2;53;15
275;1;504360;328;92;1;3;6;0;2
276;1;1088300;778;68;31;14;68;25;4
277;1;563760;501;80;48;114;20;7;40
278;1;597400;218;107;7;38;0;8;2
279;1;516210;1513;234;27;54;6;26;6
280;1;351765;222;19;1;14;1;0;4
281;1;371556;142;65;90;89;8;1;1
282;1;497652;372;113;2;3;6;0;2
283;1;1088276;775;117;34;17;1;53;15
284;1;365238;44;19;4;2;0;0;3
285;1;477827;290;95;1;3;6;0;2
286;1;398037;393;72;9;4;2;1;2
287;1;504416;334;19;17;1;3;0;2
288;1;378380;81;80;7;6;2;3;35
