ID_interaction;Class_interactions;0;1;2;3;4;5
203;1;750413;110;6;14;1;2
204;1;1108867;166;144;19;4;14
205;1;1076004;0;0;0;0;0
206;1;338742;0;0;0;0;0
207;1;338742;0;0;0;0;0
208;1;591113;16;2;1;2;4
209;1;303729;45;1;11;0;24
210;1;338461;228;12;23;16;2
211;1;405098;32;0;12;2;18
212;1;384976;217;11;15;15;2
213;1;351784;200;28;10;2;2
214;1;1108968;158;18;62;6;2
215;1;159514;119;35;7;2;18
216;1;510163;906;284;51;11;19
217;1;623696;476;109;42;17;8
218;1;318632;135;42;5;0;2
219;1;498140;1;6;0;0;3
220;1;1082646;0;0;0;0;0
221;1;418446;0;0;0;0;0
222;1;365310;0;0;0;0;0
223;1;358668;0;0;0;0;0
224;1;431730;0;0;0;0;0
225;1;365310;0;0;0;0;0
226;1;332100;0;0;0;0;0
227;1;511434;0;0;0;0;0
228;1;411790;5;3;0;4;2
229;1;1095787;123;1;11;6;2
230;1;358668;0;0;0;0;0
231;1;8840;0;0;0;0;0
232;1;358668;0;0;0;0;0
233;1;1095930;0;0;0;0;0
234;1;391792;60;20;4;0;2
235;1;969541;133;41;10;2;5
236;1;325395;56;4;0;0;3
237;1;352002;15;2;1;2;4
238;1;291934;267;15;9;19;4
239;1;365231;73;2;0;2;2
240;1;424991;62;31;0;2;2
241;1;312094;48;20;0;10;2
242;1;358648;11;1;0;6;2
243;1;371913;25;11;1;0;2
244;1;418352;27;31;13;21;2
245;1;498061;10;69;2;6;2
246;1;464840;26;63;3;6;2
247;1;272478;128;26;0;3;15
248;1;318785;21;2;6;0;2
249;1;265579;68;16;4;0;13
250;1;1109214;0;0;0;0;0
251;1;405161;0;0;0;0;1
252;1;365259;47;2;0;0;2
253;1;378307;241;41;3;0;2
254;1;497998;58;83;3;6;2
255;1;1102326;158;18;62;6;2
256;1;345352;25;0;3;0;4
257;1;457919;170;17;116;66;10
258;1;351751;223;11;23;16;2
259;1;371781;136;22;8;1;4
260;1;252380;6;0;6;3;1
261;1;491186;248;23;17;22;12
262;1;391806;44;15;9;3;1
263;1;259038;0;0;0;0;0
264;1;371952;0;0;0;0;0
265;1;411804;0;0;0;0;0
266;1;484866;0;0;0;0;0
267;1;371952;0;0;0;0;0
268;1;604267;146;4;3;0;2
269;1;438107;189;55;4;13;4
270;1;498038;31;70;3;6;2
271;1;284271;39;20;2;0;3
272;1;371686;222;12;15;15;2
273;1;611041;14;2;1;2;4
274;1;1082095;409;55;19;52;16
275;1;504674;37;70;3;6;2
276;1;1088756;375;46;14;82;15
277;1;564100;241;48;114;26;41
278;1;597400;297;35;38;2;8
279;1;517302;615;67;56;8;28
280;1;351979;18;10;15;0;4
281;1;371556;207;90;89;9;1
282;1;497995;63;81;3;6;2
283;1;1088739;407;56;18;52;16
284;1;365248;48;9;2;0;3
285;1;478104;38;71;3;6;2
286;1;398395;107;9;6;1;2
287;1;504712;57;17;1;3;2
288;1;378380;90;78;6;2;38
289;1;311897;197;18;42;19;1
290;1;331915;152;26;1;2;4
291;1;504658;50;73;3;6;2
292;1;385185;34;10;6;0;1
293;1;557664;217;10;6;18;13
294;1;411669;46;54;24;6;5
295;1;163536;0;22;0;29;3
296;1;591087;40;4;0;2;5
297;1;438372;0;0;0;0;0
298;1;405162;0;0;0;0;0
299;1;504792;0;0;0;0;0
300;1;425088;0;0;0;0;0
301;1;365206;92;2;6;3;1
302;1;477964;212;24;13;5;6
303;1;464846;14;70;2;6;2
304;1;451381;173;91;3;6;2
305;1;451572;56;20;5;1;2
306;1;511313;99;17;1;2;2
307;1;517956;38;71;3;6;2
308;1;1082098;403;59;18;52;16
309;1;1108838;288;18;62;6;2
310;1;371934;5;11;0;0;2
311;1;405162;0;0;0;0;0
312;1;405162;0;0;0;0;0
313;1;365310;0;0;0;0;0
314;1;464940;0;0;0;0;0
315;1;391878;0;0;0;0;0
316;1;484773;81;5;0;2;5
317;1;498021;44;74;3;6;2
318;1;351995;12;6;0;6;7
319;1;1135235;399;62;18;52;16
320;1;418078;227;106;7;26;2
321;1;351961;36;10;15;0;4
322;1;604394;7;15;5;0;1
323;1;338695;33;11;1;0;2
324;1;318747;42;11;1;14;1
325;1;358487;94;20;0;64;3
326;1;365214;63;20;2;9;2
327;1;604115;157;103;45;0;2
