ID_interaction;Class_interactions;0;1
281;1;371853;99
282;1;498139;11
283;1;1089202;86
284;1;365305;5
285;1;478213;11
286;1;398511;9
287;1;504786;6
288;1;378548;46
289;1;312112;62
290;1;332093;7
291;1;504781;11
292;1;385229;7
293;1;557891;37
294;1;411769;35
295;1;163558;32
296;1;591131;7
297;1;438372;0
298;1;405162;0
299;1;504792;0
300;1;425088;0
301;1;365300;10
302;1;478200;24
303;1;464930;10
304;1;451645;11
305;1;451648;8
306;1;511429;5
307;1;518065;11
308;1;1082560;86
309;1;1109144;70
310;1;371950;2
311;1;405162;0
312;1;405162;0
313;1;365310;0
314;1;464940;0
315;1;391878;0
316;1;484859;7
317;1;498139;11
318;1;352013;13
319;1;1135696;86
320;1;418411;35
321;1;352007;19
322;1;604416;6
323;1;338739;3
324;1;318800;16
325;1;358601;67
326;1;365297;13
327;1;604375;47
328;1;451605;51
329;1;491498;10
330;1;597716;64
331;1;371941;11
332;1;358654;14
333;1;391875;3
334;1;617534;172
335;1;484862;4
336;1;229805;0
337;1;391878;0
338;1;1109214;0
339;1;358668;0
340;1;445014;0
341;1;431730;0
342;1;378594;0
343;1;498150;0
344;1;318816;0
345;1;155794;6
346;1;391811;67
347;1;167469;16
348;1;438336;36
349;1;338742;0
350;1;378594;0
351;1;471438;144
352;1;352013;13
353;1;518076;0
354;1;318816;0
355;1;318816;0
356;1;371952;0
357;1;352026;0
358;1;398513;7
359;1;385107;129
360;1;1089218;70
361;1;233063;7
362;1;969721;11
363;1;637626;6
364;1;491498;10
365;1;630984;6
366;1;1115781;75
367;1;312158;16
368;1;524716;2
369;1;378568;26
370;1;338724;18
371;1;425085;3
372;1;1002909;33
373;1;444885;129
374;1;152759;7
375;1;624342;6
376;1;1082560;86
377;1;1129065;75
378;1;391871;7
379;1;332077;23
380;1;385089;147
381;1;630920;70
382;1;358656;12
383;1;351987;39
384;1;345373;11
385;1;1135776;6
386;1;371952;0
387;1;411804;0
388;1;345384;0
389;1;365310;0
390;1;1115856;0
391;1;305530;2
392;1;398438;82
393;1;597731;49
394;1;338728;14
395;1;557856;72
396;1;1122426;72
397;1;391869;9
398;1;385234;2
399;1;1135676;106
400;1;385236;0
401;1;351958;68
402;1;418437;9
403;1;591074;64
404;1;338730;12
405;1;292195;53
406;1;491497;11
407;1;411801;3
408;1;976355;19
409;1;464929;11
410;1;325455;3
411;1;398506;14
412;1;312165;9
413;1;591095;43
414;1;604422;0
415;1;425088;0
416;1;42845;0
417;1;232470;0
418;1;365310;0
419;1;471560;22
420;1;352007;19
421;1;458296;2
422;1;398501;19
423;1;478154;70
424;1;286281;57
425;1;464931;9
426;1;484855;11
427;1;1102502;70
428;1;365294;16
429;1;385225;11
430;1;637620;12
431;1;338714;28
432;1;1089189;99
433;1;458269;29
434;1;411801;3
435;1;365269;41
436;1;438368;4
437;1;365299;11
438;1;405130;32
439;1;365300;10
440;1;531292;68
441;1;352002;24
442;1;418412;34
443;1;378589;5
444;1;332091;9
445;1;451646;10
446;1;444978;36
447;1;637453;179
448;1;132408;22
449;1;484849;17
450;1;484866;0
451;1;365291;19
452;1;1082560;86
453;1;478213;11
454;1;378505;89
455;1;245370;15
456;1;929863;17
457;1;345376;8
458;1;312155;19
459;1;1115781;75
460;1;471582;0
461;1;371952;0
462;1;345384;0
463;1;411804;0
464;1;418446;0
465;1;46740;0
466;1;378589;5
467;1;352019;7
468;1;591126;12
469;1;491500;8
470;1;385078;158
471;1;371933;19
472;1;298842;48
473;1;557855;73
474;1;358627;41
475;1;498139;11
476;1;332078;22
477;1;405146;16
478;1;438369;3
479;1;365303;7
480;1;498096;54
481;1;498139;11
482;1;418410;36
483;1;491431;77
484;1;1089270;18
485;1;411804;0
486;1;345384;0
487;1;371952;0
488;1;484866;0
489;1;345384;0
490;1;276545;0
491;1;237595;0
492;1;312174;0
493;1;478224;0
494;1;484866;0
495;1;405162;0
496;1;338739;3
497;1;471571;11
498;1;378581;13
499;1;338733;9
500;1;451652;4
501;1;391834;44
502;1;398467;53
503;1;458228;70
504;1;385229;7
505;1;391832;46
506;1;332075;25
507;1;484856;10
508;1;305530;2
509;1;58424;1
510;1;371952;0
511;1;312171;3
512;1;425081;7
513;1;365291;19
514;1;478213;11
515;1;371940;12
516;1;909924;30
517;1;345369;15
518;1;617651;55
519;1;358579;89
520;1;484835;31
