ID_interaction;Class_interactions;0;1;2
189;1;1089288;0;0
190;1;398520;0;0
191;1;504792;0;0
192;1;418446;0;0
193;1;278964;0;0
194;1;358668;0;0
195;1;464850;82;8
196;1;425069;17;2
197;1;610796;230;38
198;1;983016;0;0
199;1;352026;0;0
200;1;257070;0;0
201;1;471526;52;4
202;1;358598;60;10
203;1;750523;20;3
204;1;1109033;163;18
205;1;1076004;0;0
206;1;338742;0;0
207;1;338742;0;0
208;1;591129;3;6
209;1;303774;12;24
210;1;338689;35;18
211;1;405130;12;20
212;1;385193;26;17
213;1;351984;38;4
214;1;1109126;80;8
215;1;159633;42;20
216;1;511069;335;30
217;1;624172;151;25
218;1;318767;47;2
219;1;498141;6;3
220;1;1082646;0;0
221;1;418446;0;0
222;1;365310;0;0
223;1;358668;0;0
224;1;431730;0;0
225;1;365310;0;0
226;1;332100;0;0
227;1;511434;0;0
228;1;411795;3;6
229;1;1095910;12;8
230;1;358668;0;0
231;1;8840;0;0
232;1;358668;0;0
233;1;1095930;0;0
234;1;391852;24;2
235;1;969674;51;7
236;1;325451;4;3
237;1;352017;3;6
238;1;292201;24;23
239;1;365304;2;4
240;1;425053;31;4
241;1;312142;20;12
242;1;358659;1;8
243;1;371938;12;2
244;1;418379;44;23
245;1;498071;71;8
246;1;464866;66;8
247;1;272606;26;18
248;1;318806;8;2
249;1;265647;20;13
250;1;1109214;0;0
251;1;405161;0;1
252;1;365306;2;2
253;1;378548;44;2
254;1;498056;86;8
255;1;1102484;80;8
256;1;345377;3;4
257;1;458089;133;76
258;1;351974;34;18
259;1;371917;30;5
260;1;252386;6;4
261;1;491434;40;34
262;1;391850;24;4
263;1;259038;0;0
264;1;371952;0;0
265;1;411804;0;0
266;1;484866;0;0
267;1;371952;0;0
268;1;604413;7;2
269;1;438296;59;17
270;1;498069;73;8
271;1;284310;22;3
272;1;371908;27;17
273;1;611055;3;6
274;1;1082504;74;68
275;1;504711;73;8
276;1;1089131;60;97
277;1;564341;162;67
278;1;597697;73;10
279;1;517917;123;36
280;1;351997;25;4
281;1;371763;179;10
282;1;498058;84;8
283;1;1089146;74;68
284;1;365296;11;3
285;1;478142;74;8
286;1;398502;15;3
287;1;504769;18;5
288;1;378470;84;40
289;1;312094;60;20
290;1;332067;27;6
291;1;504708;76;8
292;1;385219;16;1
293;1;557881;16;31
294;1;411715;78;11
295;1;163536;22;32
296;1;591127;4;7
297;1;438372;0;0
298;1;405162;0;0
299;1;504792;0;0
300;1;425088;0;0
301;1;365298;8;4
302;1;478176;37;11
303;1;464860;72;8
304;1;451554;94;8
305;1;451628;25;3
306;1;511412;18;4
307;1;517994;74;8
308;1;1082501;77;68
309;1;1109126;80;8
310;1;371939;11;2
311;1;405162;0;0
312;1;405162;0;0
313;1;365310;0;0
314;1;464940;0;0
315;1;391878;0;0
316;1;484854;5;7
317;1;498065;77;8
318;1;352007;6;13
319;1;1135634;80;68
320;1;418305;113;28
321;1;351997;25;4
