ID_interaction;Class_interactions;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17
200;1;257070;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
201;1;470804;494;190;21;10;7;29;17;5;0;0;1;0;2;0;1;0;1
202;1;358205;217;81;61;24;10;17;0;9;34;0;0;1;0;0;0;8;1
203;1;749907;477;29;26;18;66;2;1;3;9;5;0;0;0;1;0;0;2
204;1;1108284;0;583;0;166;0;52;0;92;0;19;0;4;0;0;0;7;7
205;1;1076004;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
206;1;338742;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
207;1;338742;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
208;1;590594;397;122;9;7;0;0;0;2;0;0;1;1;0;1;1;0;3
209;1;303566;125;38;37;8;0;0;1;0;9;2;0;0;0;0;0;0;24
210;1;338282;0;179;0;228;0;12;0;0;14;0;9;0;16;0;1;0;1
211;1;404988;82;28;12;15;5;0;0;0;10;2;0;0;1;1;16;0;2
212;1;384811;0;165;0;217;0;11;0;0;6;0;9;0;15;0;1;0;1
213;1;351142;489;153;84;97;19;26;2;0;0;8;2;0;2;0;1;0;1
214;1;1107316;1414;238;86;20;52;4;13;1;0;53;9;6;0;0;0;0;2
215;1;159194;227;93;54;37;28;8;9;18;2;2;3;0;0;2;2;8;8
216;1;509128;1035;0;612;294;0;195;89;0;29;22;0;5;6;0;4;2;13
217;1;622653;1043;0;315;161;0;84;25;0;16;26;0;15;2;0;6;0;2
218;1;318531;101;0;100;0;35;0;42;0;5;0;0;0;0;0;0;0;2
219;1;498137;0;3;0;0;1;0;6;0;0;0;0;0;0;0;2;0;1
220;1;1082646;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
221;1;418446;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
222;1;365310;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
223;1;358668;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
224;1;431730;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
225;1;365310;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
226;1;332100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
227;1;511434;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
228;1;411709;0;81;0;0;5;0;3;0;0;0;0;4;0;0;0;0;2
229;1;1094688;844;255;67;2;54;0;0;1;0;2;9;6;0;0;0;0;2
230;1;358668;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
231;1;8840;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
232;1;358668;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
233;1;1095930;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
234;1;391705;0;87;0;60;0;20;0;0;0;4;0;0;0;0;0;0;2
235;1;968791;406;344;61;0;72;13;28;0;4;6;0;1;0;1;1;0;4
236;1;325183;94;118;10;46;0;0;3;1;0;0;0;0;0;0;0;0;3
237;1;351795;51;156;14;1;0;2;0;0;0;0;1;1;0;1;2;0;2
238;1;291873;0;61;0;267;0;13;0;2;0;9;0;6;0;13;0;0;4
239;1;365199;32;0;59;14;0;2;0;0;0;0;0;0;2;0;0;0;2
240;1;424525;295;171;29;22;11;6;12;13;0;0;0;0;2;0;0;1;1
241;1;311788;0;306;0;48;0;20;0;0;0;0;0;10;0;0;0;0;2
242;1;358566;37;45;3;8;0;1;0;0;0;0;0;6;0;0;0;0;2
243;1;371794;106;13;22;1;2;2;6;3;1;0;0;0;0;0;0;0;2
244;1;418181;122;49;6;3;18;15;2;14;0;4;9;0;20;1;0;0;2
245;1;497730;113;218;7;3;0;69;0;0;2;0;0;6;0;0;0;0;2
246;1;464588;143;109;7;19;0;62;0;1;2;1;0;6;0;0;0;0;2
247;1;272092;296;90;61;37;30;11;13;2;0;0;0;0;2;1;1;8;6
248;1;318410;201;174;10;5;6;0;2;0;0;0;6;0;0;0;1;0;1
249;1;265579;0;0;68;0;0;0;16;0;0;4;0;0;0;0;0;0;13
250;1;1109214;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
